scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.02,0.08,0.48,5.73,0.34
Intermediate,0.04,0.08,2.81,18.62,1.16
High,0.07,0.15,12.7,51.72,4.65
