scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.01,0.2,0.27,6.44,0.12
Intermediate,0.01,0.2,1.45,22.6,0.43
High,0.02,0.23,4.26,43.78,1.41
