scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.02,0.17,2.85,19.28,0.62
Intermediate,0.07,0.25,16.79,47.62,5.1
High,0.13,0.39,61.81,85.66,13.41
