scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.02,0.2,1.63,24.03,0.54
Intermediate,0.06,0.29,11.69,58.14,4.47
High,0.11,0.36,47.74,65.53,10.92
