scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.03,0.12,0.48,6.34,0.3
Intermediate,0.05,0.12,2.89,20.52,1.1
High,0.09,0.22,12.67,52.71,4.4
