scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.04,0.08,3.22,19.98,1.39
Intermediate,0.09,0.2,19.06,54.32,10.28
High,0.21,0.28,61.93,85.39,25.83
