scenario,Broward,Collier,Miami-Dade,Monroe,Palm Beach
Low,0.05,0.12,3.28,22.02,1.3
Intermediate,0.12,0.27,20.05,59.52,9.5
High,0.25,0.4,62.19,85.67,24.97
